musteri_id,persona,tarih,islem_tipi,kategori,tutar,aciklama
6001,ogrenci_dusuk_gelir,2026-01-01,gider,eglence,-588.43,eglence
6001,ogrenci_dusuk_gelir,2026-01-03,gelir,part_time,2751.17,part_time
6001,ogrenci_dusuk_gelir,2026-01-03,gelir,freelance,2433.73,freelance
6001,ogrenci_dusuk_gelir,2026-01-06,gider,kira,-4033.49,kira
6001,ogrenci_dusuk_gelir,2026-01-08,gelir,burs,2615.15,burs
6001,ogrenci_dusuk_gelir,2026-01-14,gider,fatura,-609.04,fatura
6001,ogrenci_dusuk_gelir,2026-01-15,gelir,aile,4318.38,aile
6001,ogrenci_dusuk_gelir,2026-01-16,gider,ulasim,-616.93,ulasim
6001,ogrenci_dusuk_gelir,2026-01-19,gelir,part_time,3258.05,part_time
6001,ogrenci_dusuk_gelir,2026-01-20,gider,giyim,-673.11,giyim
6001,ogrenci_dusuk_gelir,2026-01-23,gider,fatura,-1344.5,fatura
6001,ogrenci_dusuk_gelir,2026-01-23,gider,fatura,-1031.9,fatura
6001,ogrenci_dusuk_gelir,2026-01-26,gider,egitim,-873.57,egitim
6001,ogrenci_dusuk_gelir,2026-01-27,gider,saglik,-866.25,saglik
6001,ogrenci_dusuk_gelir,2026-01-28,gelir,burs,2916.51,burs
6001,ogrenci_dusuk_gelir,2026-02-01,gelir,freelance,2501.78,freelance
6001,ogrenci_dusuk_gelir,2026-02-02,gider,kira,-4033.49,kira
6001,ogrenci_dusuk_gelir,2026-02-02,gider,ulasim,-715.5,ulasim
6001,ogrenci_dusuk_gelir,2026-02-03,gelir,part_time,2590.31,part_time
6001,ogrenci_dusuk_gelir,2026-02-10,gider,fatura,-1414.28,fatura
6001,ogrenci_dusuk_gelir,2026-02-13,gider,egitim,-1080.55,egitim
6001,ogrenci_dusuk_gelir,2026-02-14,gelir,aile,4185.92,aile
6001,ogrenci_dusuk_gelir,2026-02-18,gider,eglence,-1551.85,eglence
6001,ogrenci_dusuk_gelir,2026-02-19,gelir,part_time,2576.19,part_time
6001,ogrenci_dusuk_gelir,2026-02-20,gider,fatura,-1344.5,fatura
6001,ogrenci_dusuk_gelir,2026-02-22,gider,ulasim,-1091.27,ulasim
6001,ogrenci_dusuk_gelir,2026-02-25,gelir,burs,3123.37,burs
6001,ogrenci_dusuk_gelir,2026-02-25,gider,saglik,-1491.06,saglik
6001,ogrenci_dusuk_gelir,2026-02-26,gider,market,-925.45,market
6001,ogrenci_dusuk_gelir,2026-03-02,gelir,freelance,2283.47,freelance
6001,ogrenci_dusuk_gelir,2026-03-05,gider,kira,-4033.49,kira
6001,ogrenci_dusuk_gelir,2026-03-06,gelir,part_time,2349.58,part_time
6001,ogrenci_dusuk_gelir,2026-03-10,gider,yeme_icme,-619.37,yeme_icme
6001,ogrenci_dusuk_gelir,2026-03-15,gelir,aile,4153.75,aile
6001,ogrenci_dusuk_gelir,2026-03-15,gider,fatura,-655.2,fatura
6001,ogrenci_dusuk_gelir,2026-03-16,gider,yeme_icme,-1579.98,yeme_icme
6001,ogrenci_dusuk_gelir,2026-03-20,gelir,part_time,2445.29,part_time
6001,ogrenci_dusuk_gelir,2026-03-23,gelir,burs,2885.77,burs
6001,ogrenci_dusuk_gelir,2026-03-25,gider,market,-1391.58,market
6001,ogrenci_dusuk_gelir,2026-03-26,gider,fatura,-1344.5,fatura
6001,ogrenci_dusuk_gelir,2026-03-26,gider,fatura,-1264.44,fatura
6001,ogrenci_dusuk_gelir,2026-03-26,gider,saglik,-1556.64,saglik
6001,ogrenci_dusuk_gelir,2026-03-27,gider,ulasim,-1079.44,ulasim
6001,ogrenci_dusuk_gelir,2026-03-29,gider,fatura,-985.26,fatura
6001,ogrenci_dusuk_gelir,2026-04-02,gelir,freelance,2445.04,freelance
6001,ogrenci_dusuk_gelir,2026-04-02,gider,saglik,-627.2,saglik
6001,ogrenci_dusuk_gelir,2026-04-02,gider,market,-1147.23,market
6001,ogrenci_dusuk_gelir,2026-04-03,gelir,part_time,2627.25,part_time
6001,ogrenci_dusuk_gelir,2026-04-04,gider,saglik,-607.02,saglik
6001,ogrenci_dusuk_gelir,2026-04-04,gider,fatura,-1145.33,fatura
6001,ogrenci_dusuk_gelir,2026-04-05,gider,fatura,-1344.5,fatura
6001,ogrenci_dusuk_gelir,2026-04-06,gider,kira,-4033.49,kira
6001,ogrenci_dusuk_gelir,2026-04-06,gider,ulasim,-1407.53,ulasim
6001,ogrenci_dusuk_gelir,2026-04-07,gider,giyim,-898.1,giyim
6001,ogrenci_dusuk_gelir,2026-04-09,gider,abonelik,-1302.62,abonelik
6001,ogrenci_dusuk_gelir,2026-04-11,gider,fatura,-612.04,fatura
6001,ogrenci_dusuk_gelir,2026-04-13,gider,ulasim,-1277.51,ulasim
6001,ogrenci_dusuk_gelir,2026-04-13,gider,yeme_icme,-1032.33,yeme_icme
6001,ogrenci_dusuk_gelir,2026-04-17,gelir,part_time,2742.64,part_time
6001,ogrenci_dusuk_gelir,2026-04-20,gelir,aile,3728.34,aile
6001,ogrenci_dusuk_gelir,2026-04-22,gelir,burs,2575.85,burs
6001,ogrenci_dusuk_gelir,2026-04-28,gelir,part_time,2541.95,part_time
6001,ogrenci_dusuk_gelir,2026-04-29,gider,eglence,-1392.02,eglence
6001,ogrenci_dusuk_gelir,2026-05-03,gider,kira,-4033.49,kira
6001,ogrenci_dusuk_gelir,2026-05-03,gider,market,-589.54,market
6001,ogrenci_dusuk_gelir,2026-05-03,gider,giyim,-1069.26,giyim
6001,ogrenci_dusuk_gelir,2026-05-05,gelir,freelance,2638.14,freelance
6001,ogrenci_dusuk_gelir,2026-05-08,gider,fatura,-1344.5,fatura
6001,ogrenci_dusuk_gelir,2026-05-09,gider,market,-856.67,market
6001,ogrenci_dusuk_gelir,2026-05-12,gider,ulasim,-1410.58,ulasim
6001,ogrenci_dusuk_gelir,2026-05-15,gelir,part_time,2825.75,part_time
6001,ogrenci_dusuk_gelir,2026-05-16,gelir,aile,3967.94,aile
6001,ogrenci_dusuk_gelir,2026-05-18,gider,abonelik,-1514.3,abonelik
6001,ogrenci_dusuk_gelir,2026-05-19,gider,abonelik,-1048.29,abonelik
6001,ogrenci_dusuk_gelir,2026-05-21,gider,ulasim,-1475.96,ulasim
6001,ogrenci_dusuk_gelir,2026-05-22,gider,saglik,-1402.82,saglik
6001,ogrenci_dusuk_gelir,2026-05-25,gelir,burs,2451.34,burs
6001,ogrenci_dusuk_gelir,2026-05-29,gelir,freelance,2555.65,freelance
6001,ogrenci_dusuk_gelir,2026-05-30,gider,saglik,-817.69,saglik
6001,ogrenci_dusuk_gelir,2026-06-01,gelir,part_time,2631.38,part_time
6001,ogrenci_dusuk_gelir,2026-06-04,gider,kira,-4033.49,kira
6001,ogrenci_dusuk_gelir,2026-06-12,gelir,aile,4310.61,aile
6001,ogrenci_dusuk_gelir,2026-06-16,gelir,part_time,2737.41,part_time
6001,ogrenci_dusuk_gelir,2026-06-16,gider,fatura,-1344.5,fatura
6001,ogrenci_dusuk_gelir,2026-06-25,gelir,burs,3502.43,burs
6001,ogrenci_dusuk_gelir,2026-06-25,gider,fatura,-1231.78,fatura
6001,ogrenci_dusuk_gelir,2026-06-27,gider,market,-1323.9,market
6001,ogrenci_dusuk_gelir,2026-06-29,gider,ulasim,-1550.98,ulasim
